Tier,Working_city,GDP,Population,GDP_per_capita
Tier 4,Lingbao,27.226,150000,1089040
Tier 4,Linghai,20,150000,8.00E+05
Tier 4,Lingwu,20,150000,8.00E+05
Tier 4,Lingyuan,20,150000,8.00E+05
Tier 4,Linjiang,20,150000,8.00E+05
Tier 4,Linqing,20,150000,8.00E+05
Tier 4,Linxia,20,150000,8.00E+05
Tier 4,Linxiang,28.77,150000,1150800
Tier 4,Linzhou,20,150000,8.00E+05
Tier 4,Liupanshui,20,150000,8.00E+05
Tier 4,Liuyang,63.875,150000,2555000
Tier 4,Liyang,20,150000,8.00E+05
Tier 4,Longhai,20,150000,8.00E+05
Tier 4,Longjing,20,150000,8.00E+05
Tier 4,Longkou,20,150000,8.00E+05
Tier 4,Longnan,20,150000,8.00E+05
Tier 4,Loudi,20,150000,8.00E+05
Tier 4,Lucheng,20,150000,8.00E+05
Tier 4,Lufeng,20,150000,8.00E+05
Tier 4,Lüliang,20,150000,8.00E+05
Tier 4,Luoding,20,150000,8.00E+05
Tier 4,Luohe,20,150000,8.00E+05
Tier 4,Lushan,20,150000,8.00E+05
Tier 4,Luzhou,20,150000,8.00E+05
Tier 4,Macau,20,150000,8.00E+05
Tier 4,Macheng,20,150000,8.00E+05
Tier 4,Manzhouli,20,150000,8.00E+05
Tier 4,Meihekou,20,150000,8.00E+05
Tier 4,Meishan,20,150000,8.00E+05
Tier 4,Meizhou,20,150000,8.00E+05
Tier 4,Mengzhou,20,150000,8.00E+05
Tier 4,Mianzhu,20,150000,8.00E+05
Tier 4,Miluo,20,150000,8.00E+05
Tier 4,Mingguang,20,150000,8.00E+05
Tier 4,Mishan,20,150000,8.00E+05
Tier 4,Muling,20,150000,8.00E+05
Tier 4,Nan'an,20,150000,8.00E+05
Tier 4,Nangong,20,150000,8.00E+05
Tier 4,Nanxiong,20,150000,8.00E+05
Tier 4,Nehe,20,150000,8.00E+05
Tier 4,Ning'an,20,150000,8.00E+05
Tier 4,Ningguo,20,150000,8.00E+05
Tier 4,Nyingchi,20,150000,8.00E+05
Tier 4,Panshi,20,150000,8.00E+05
Tier 4,Penglai,20,150000,8.00E+05
Tier 4,Pengzhou,20,150000,8.00E+05
Tier 4,Pingdu,20,150000,8.00E+05
Tier 4,Pingliang,20,150000,8.00E+05
Tier 4,Pingxiang,20,150000,8.00E+05
Tier 4,Pingxiang,20,150000,8.00E+05
Tier 4,Puning,20,150000,8.00E+05
Tier 4,Qian'an,20,150000,8.00E+05
Tier 4,Qianjiang,27.216,150000,1088640
Tier 4,Qingtongxia,20,150000,8.00E+05
Tier 4,Qingyang,20,150000,8.00E+05
Tier 4,Qingyuan,20,150000,8.00E+05
Tier 4,Qingzhen,20,150000,8.00E+05
Tier 4,Qingzhou,20,150000,8.00E+05
Tier 4,Qinyang,20,150000,8.00E+05
Tier 4,Qinzhou,20,150000,8.00E+05
Tier 4,Qionghai,20,150000,8.00E+05
Tier 4,Qionglai,20,150000,8.00E+05
Tier 4,Qitaihe,20,150000,8.00E+05
Tier 4,Qixia,20,150000,8.00E+05
Tier 4,Qufu,20,150000,8.00E+05
Tier 4,Renhuai,20,150000,8.00E+05
Tier 4,Renqiu,20,150000,8.00E+05
Tier 4,Rongcheng,21.535,150000,861400
Tier 4,Ruichang,20,150000,8.00E+05
Tier 4,Ruijin,20,150000,8.00E+05
Tier 4,Rushan,20,150000,8.00E+05
Tier 4,Ruzhou,20,150000,8.00E+05
Tier 4,Sanhe,20,150000,8.00E+05
Tier 4,Sanmenxia,20,150000,8.00E+05
Tier 4,Sansha,20,150000,8.00E+05
Tier 4,Sanya,20,150000,8.00E+05
Tier 4,Shahe,20,150000,8.00E+05
Tier 4,Shangluo,20,150000,8.00E+05
Tier 4,Shangzhi,20,150000,8.00E+05
Tier 4,Shannan,20,150000,8.00E+05
Tier 4,Shanwei,20,150000,8.00E+05
Tier 4,Shaoguan,20,150000,8.00E+05
Tier 4,Shaoshan,20,150000,8.00E+05
Tier 4,Shaowu,20,150000,8.00E+05
Tier 4,Shenzhou,20,150000,8.00E+05
Tier 4,Shifang,20,150000,8.00E+05
Tier 4,Shigatse,20,150000,8.00E+05
Tier 4,Shishi,20,150000,8.00E+05
Tier 4,Shishou,20,150000,8.00E+05
Tier 4,Shiyan,20,150000,8.00E+05
Tier 4,Shizuishan,21.782,150000,871280
Tier 4,Shuangliao,20,150000,8.00E+05
Tier 4,Shuangyashan,20,150000,8.00E+05
Tier 4,Shulan,20,150000,8.00E+05
Tier 4,Shuozhou,20,150000,8.00E+05
Tier 4,Sihui,20,150000,8.00E+05
Tier 4,Siping,20,150000,8.00E+05
Tier 4,Songzi,20,150000,8.00E+05
Tier 4,Suifenhe,20,150000,8.00E+05
Tier 4,Suining,20,150000,8.00E+05
Tier 4,Suizhou,20,150000,8.00E+05
Tier 4,Suzhou,20,150000,8.00E+05
Tier 4,Taicang,20,150000,8.00E+05
Tier 4,Taishan,20,150000,8.00E+05
Tier 4,Taonan,20,150000,8.00E+05
Tier 4,Tianchang,20,150000,8.00E+05
Tier 4,Tianmen,20,150000,8.00E+05
Tier 4,Tieli,20,150000,8.00E+05
Tier 4,Tongcheng,20,150000,8.00E+05
Tier 4,Tongchuan,20,150000,8.00E+05
Tier 4,Tonghua,20,150000,8.00E+05
Tier 4,Tongjiang,20,150000,8.00E+05
Tier 4,Tongling,20,150000,8.00E+05
Tier 4,Tongren,20,150000,8.00E+05
Tier 4,Tumen,20,150000,8.00E+05
Tier 4,Ulanhot,20,150000,8.00E+05
Tier 4,Ulanqab,20,150000,8.00E+05
Tier 4,Wafangdian,20,150000,8.00E+05
Tier 4,Wanning,20,150000,8.00E+05
Tier 4,Wanyuan,20,150000,8.00E+05
Tier 4,Weihui,20,150000,8.00E+05
Tier 4,Wenchang,20,150000,8.00E+05
Tier 4,Wu'an,20,150000,8.00E+05
Tier 4,Wuchang,20,150000,8.00E+05
Tier 4,Wudalianchi,20,150000,8.00E+05
Tier 4,Wugang,20,150000,8.00E+05
Tier 4,Wugang,20,150000,8.00E+05
Tier 4,Wuhai,20,150000,8.00E+05
Tier 4,Wuxue,20,150000,8.00E+05
Tier 4,Wuyishan,20,150000,8.00E+05
Tier 4,Wuzhishan,20,150000,8.00E+05
Tier 4,Wuzhong,21.865,150000,874600
Tier 4,Wuzhou,20,150000,8.00E+05
Tier 4,Xiangxiang,20,150000,8.00E+05
Tier 4,Xianning,20,150000,8.00E+05
Tier 4,Xiantao,20,150000,8.00E+05
Tier 4,Xiaoyi,20,150000,8.00E+05
Tier 4,Xichang,20,150000,8.00E+05
Tier 4,Xilinhot,20,150000,8.00E+05
Tier 4,Xingcheng,20,150000,8.00E+05
Tier 4,Xinghua,20,150000,8.00E+05
Tier 4,Xingning,20,150000,8.00E+05
Tier 4,Xingping,20,150000,8.00E+05
Tier 4,Xingyang,20,150000,8.00E+05
Tier 4,Xingyi,20,150000,8.00E+05
Tier 4,Xinji,20,150000,8.00E+05
Tier 4,Xinle,20,150000,8.00E+05
Tier 4,Xinmi,20,150000,8.00E+05
Tier 4,Xinmin,20,150000,8.00E+05
Tier 4,Xintai,20,150000,8.00E+05
Tier 4,Xinyi,20,150000,8.00E+05
Tier 4,Xinyu,20,150000,8.00E+05
Tier 4,Xinzheng,20,150000,8.00E+05
Tier 4,Xinzhou,20,150000,8.00E+05
Tier 4,Xuancheng,20,150000,8.00E+05
Tier 4,Ya'an,20,150000,8.00E+05
Tier 4,Yakeshi,20,150000,8.00E+05
Tier 4,Yangchun,20,150000,8.00E+05
Tier 4,Yangquan,20.109,150000,804360
Tier 4,Yangzhong,20,150000,8.00E+05
Tier 4,Yanji,20,150000,8.00E+05
Tier 4,Yanshi,20,150000,8.00E+05
Tier 4,Yicheng,20,150000,8.00E+05
Tier 4,Yichun,20,150000,8.00E+05
Tier 4,Yidu,20,150000,8.00E+05
Tier 4,Yima,20,150000,8.00E+05
Tier 4,Yingcheng,20,150000,8.00E+05
Tier 4,Yingde,20,150000,8.00E+05
Tier 4,Yingtan,20,150000,8.00E+05
Tier 4,Yiyang,20,150000,8.00E+05
Tier 4,Yizheng,20,150000,8.00E+05
Tier 4,Yizhou,20.54,150000,821600
Tier 4,Yong'an,20,150000,8.00E+05
Tier 4,Yongcheng,20,150000,8.00E+05
Tier 4,Yongji,22.54,150000,901600
Tier 4,Yongzhou,20,150000,8.00E+05
Tier 4,Yuanjiang,20,150000,8.00E+05
Tier 4,Yuanping,20,150000,8.00E+05
Tier 4,Yucheng,20,150000,8.00E+05
Tier 4,Yulin,21.266,150000,850640
Tier 4,Yumen,20,150000,8.00E+05
Tier 4,Yuncheng,20,150000,8.00E+05
Tier 4,Yunfu,20,150000,8.00E+05
Tier 4,Yushu,20,150000,8.00E+05
Tier 4,Yushu,20,150000,8.00E+05
Tier 4,Zhalantun,22.397,150000,895880
Tier 4,Zhangjiajie,20,150000,8.00E+05
Tier 4,Zhangping,20,150000,8.00E+05
Tier 4,Zhangshu,20,150000,8.00E+05
Tier 4,Zhangye,20,150000,8.00E+05
Tier 4,Zhaodong,20,150000,8.00E+05
Tier 4,Zhaoyuan,20,150000,8.00E+05
Tier 4,Zhijiang,20,150000,8.00E+05
Tier 4,Zhongwei,20,150000,8.00E+05
Tier 4,Zhongxiang,20,150000,8.00E+05
Tier 4,Zhuanghe,20,150000,8.00E+05
Tier 4,Zhuozhou,20,150000,8.00E+05
Tier 4,Zixing,20,150000,8.00E+05
Tier 4,Ziyang,20,150000,8.00E+05
Tier 4,Zunhua,20,150000,8.00E+05
Tier 1,Tianjin City,233.191,1.60E+07,87446.625
Tier 1,Beijing City,319.719,21500000,89223.90698
Tier 1,Chongqing City,206.408,30165500,41055.11263
Tier 1,Shanghai City,352.292,35965403,58771.81468
Tier 1,Guangzhou City,248.985,44294245,33726.95482
Tier 2,Shenzhen City,210.161,10778900,116984.6645
Tier 2,Chengdu City,115.108,1.80E+07,38369.33333
Tier 2,Wuhan City,80.785,19780644,24504.2578
Tier 2,Hangzhou City,48.733,21102000,13856.41171
Tier 2,Harbin City,129.281,1.20E+07,64640.5
Tier 2,Shenyang City,25.284,12263612,12370.25438
Tier 2,Nanjing City,80.908,12652000,38369.26968
Tier 2,Jinan City,115.588,1.30E+07,53348.30769
Tier 2,Hefei City,130.307,3352076,233241.1318
Tier 2,Ningbo City,78.532,3491597,134950.2821
Tier 2,Changchun City,38.96,3530115,66218.8059
Tier 2,Shijiazhuang City,123.535,3995290,185520.9509
Tier 2,Dalian City,53.866,4087733,79064.85086
Tier 2,Fuzhou City,75.542,4468076,101442.321
Tier 2,Zhengzhou City,100.14,4867388,123441.9775
Tier 2,Changsha City,115.5,7311500,94782.19244
Tier 2,Qingdao City,84.254,9046200,55882.46999
Tier 2,Suzhou City,129.364,1647642,471087.7727
Tier 2,Shantou City,20,11630447,10317.74617
Tier 2,Xi'an City,20,13569700,8843.231612
Tier 2,Guiyang City,84.451,3037159,166835.5196
Tier 2,Nanning City,78.863,3177450,148917.5282
Tier 2,Nantong City,147.079,3180924,277426.9363
Tier 2,Tangshan City,146.149,3187171,275132.398
Tier 2,Xiamen City,134.721,3531347,228900.1902
Tier 2,Wuxi City,234.131,3542319,396572.4149
Tier 2,Kunming City,20,3583429,33487.47806
Tier 2,Taiyuan City,20,4062173,29540.83935
Tier 2,Nanchang City,20,4107962,29211.56525
Tier 2,Quanzhou City,20,8128533,14762.81144
Tier 3,Daqing City,28.312,1415268,120028.1501
Tier 3,Weifang City,20,1521600,78864.35331
Tier 3,Yantai City,48.65,1870600,156046.1884
Tier 3,Hohhot City,20,1980774,60582.3784
Tier 3,Lanzhou City,48.552,2492325,116883.6328
Tier 3,Xuzhou City,25.863,2623066,59159.01468
Tier 3,Urumqi City,45.966,2988715,92279.1233
Tier 3,Taizhou City,20,3269300,36705.10507
Tier 3,Changzhou City,20,3290548,36468.08981
Tier 3,Zibo City,20,3484800,34435.26171
Tier 3,Wenzhou City,39.731,9122102,26132.79264
Tier 3,Dongguan City,20,NA,NA
Tier 3,Foshan City,34.808,NA,NA
Tier 3,Zhuhai City,20,NA,NA
Tier 3,Pingdingshan City,20,1033975,116056.9646
Tier 3,Lianyungang City,39.326,1049831,224756.175
Tier 3,Zhuzhou City,52.48,1055373,298358.9688
Tier 3,Hengyang City,20,1075516,111574.3513
Tier 3,Jinhua City,20,1077300,111389.5851
Tier 3,Jinzhou City,20,1091799,109910.3406
Tier 3,Zunyi City,20,1095189,109570.129
Tier 3,Jining City,25.139,1115300,135240.7424
Tier 3,Jingzhou City,20,1154086,103978.3864
Tier 3,Xingtai City,28.829,1155199,149735.2404
Tier 3,Wuhu City,31.477,1162664,162439.0194
Tier 3,Qujing City,35.029,1171805,179359.1937
Tier 3,Xining City,47.775,1198304,239213.0878
Tier 3,Zhenjiang City,20,1200400,99966.67777
Tier 3,Jiaxing City,21.716,1201900,108408.3534
Tier 3,Maoming City,25.587,1217715,126073.835
Tier 3,Liaocheng City,56.538,1229800,275839.974
Tier 3,Xinyang City,20,1229959,97564.22775
Tier 3,Zhaoqing City,21.555,1232701,104915.9529
Tier 3,Xuchang City,25.909,1265454,122844.4495
Tier 3,Xiangyang City,33.901,1294732,157102.7827
Tier 3,Guilin City,25.575,1326470,115682.9781
Tier 3,Heze City,27.019,1346700,120378.7035
Tier 3,Yichang City,20,1350150,88879.01344
Tier 3,Yingkou City,20,1351519,88788.98484
Tier 3,Mianyang City,47.266,1355331,209244.8265
Tier 3,Ma'anshan City,50.824,1366302,223189.3095
Tier 3,Panjin City,34.88,1392493,150291.5993
Tier 3,Handan City,38.201,1403439,163317.3939
Tier 3,Suqian City,25.531,1437686,106550.3872
Tier 3,Baoji City,26.805,1437802,111858.2392
Tier 3,Changde City,20,1458536,82274.28051
Tier 3,Yinchuan City,30.732,1513151,121859.6161
Tier 3,Zhanjiang City,45.437,1612300,169088.8792
Tier 3,Yancheng City,26.77,1615717,99410.97358
Tier 3,Tai'an City,20,1735500,69144.33881
Tier 3,Baoding City,33.101,1789550,110980.9729
Tier 3,Nanyang City,45.503,1811732,150694.4736
Tier 3,Luoyang City,24.432,1856877,78945.45519
Tier 3,Nanchong City,23.495,1858875,75836.19124
Tier 3,Xiangtan City,20,1875300,63989.76164
Tier 3,Putian City,20.878,1953801,64115.02502
Tier 3,Jilin City,20,1975803,60734.79998
Tier 3,Anyang City,21.815,1995760,65584.03816
Tier 3,Liuzhou City,49.433,1998950,148376.8979
Tier 3,Baotou City,20,2034996,58968.17488
Tier 3,Haikou City,67.518,2046189,197981.7114
Tier 3,Anshan City,27.551,2242436,73717.15402
Tier 3,Yangzhou City,24.961,2399079,62426.45615
Tier 3,Linyi City,36.571,2600200,84388.12399
Tier 3,Huai'an City,20,2633420,45568.12054
Tier 3,Lhasa City,20,279074,429993.4784
Tier 3,Zhangzhou City,71.38,4809983,89039.81573
Tier 3,Zhoukou City,22.9,505139,272004.3394
Tier 3,Cangzhou City,20,536793,223549.86
Tier 3,Taizhou City,20,586392,204641.2639
Tier 3,Jiujiang City,20,592381,202572.331
Tier 3,Yulin City,21.683,637617,204037.8472
Tier 3,Dezhou City,20,679600,176574.4556
Tier 3,Binzhou City,24.223,709700,204787.9386
Tier 3,Anqing City,27.568,780514,211921.8874
Tier 3,Yibin City,31.375,836383,225076.3107
Tier 3,Rizhao City,20,865032,138723.1917
Tier 3,Jiaozuo City,20,865356,138671.2521
Tier 3,Langfang City,21.433,868066,148143.1135
Tier 3,Kaifeng City,29.559,896057,197927.1408
Tier 3,Zaozhuang City,28.515,899700,190163.3878
Tier 3,Xinxiang City,41.169,902731,273629.6859
Tier 3,Weihai City,20,908200,132129.4869
Tier 3,Yueyang City,20,991465,121033.0168
Tier 3,Dongying City,20,999000,120120.1201
Tier 3,Fushun City,20,NA,NA
Tier 3,Huizhou City,20,NA,NA
Tier 3,Jiangmen City,56.118,NA,NA
Tier 3,Shaoxing City,33.262,NA,NA
Tier 3,Xianyang City,20,NA,NA
Tier 3,Zhongshan City,20,NA,NA
Tier 3,Hezhou City,38.752,1005500,231240.179
Tier 3,Wuwei City,33.673,1010295,199979.214
Tier 3,Benxi City,42.982,1011377,254990.9678
Tier 3,Qinhuangdao City,81.362,1029670,474105.2959
Tier 3,Ezhou City,98.838,1035500,572697.2477
Tier 3,Guigang City,50.916,1086327,281219.1909
Tier 3,Bazhong City,70.415,1126790,374950.0794
Tier 3,Ganzhou City,75.452,1189617,380552.7325
Tier 3,Tianshui City,61.378,1197174,307614.432
Tier 3,Neijiang City,55.146,1251095,264469.125
Tier 3,Chifeng City,64.649,1333526,290878.4681
Tier 3,Zigong City,20,1362062,88101.71637
Tier 3,Wenling City,32.296,1366800,141773.4855
Tier 3,Bozhou City,42.61,1409436,181391.7056
Tier 3,Qiqihar City,43.247,1559517,166386.1311
Tier 3,Huangshi City,88.646,1601687,332072.3712
Tier 3,Datong City,113.191,1629035,416900.8032
Tier 3,Lu'an City,26.842,1644344,97943.00949
Tier 3,Fuyang City,64.059,1768947,217278.4148
Tier 3,Huainan City,20,1938212,61912.73194
Tier 3,Lijiang City,45.061,155540,1738240.967
Tier 3,Huaibei City,21.644,2114276,61422.44437
Tier 3,Karamay City,20,261445,458987.55
Tier 3,Lishui City,46.895,451400,623327.4258
Tier 3,Nanping City,40.367,467875,517663.906
Tier 3,Hegang City,50.638,489232,621030.5131
Tier 3,Beihai City,21.452,525385,244986.0578
Tier 3,Chuzhou City,90.646,562321,967198.4507
Tier 3,Puyang City,23.301,655631,213238.8493
Tier 3,Tieling City,20,666755,179976.1532
Tier 3,Yangjiang City,21.683,676858,192208.7055
Tier 3,Fuxin City,42.263,686848,369190.8545
Tier 3,Shaoyang City,43.683,753194,347982.0604
Tier 3,Huludao City,27.191,777682,209784.9764
Tier 3,Panzhihua City,32.456,787177,247385.2768
Tier 3,Dandong City,55.299,798364,415592.3864
Tier 3,Kashgar City,20,819095,146503.1529
Tier 3,Zhoushan City,20,843000,142348.7544
Tier 3,Suihua City,42.357,877682,289560.4558
Tier 3,Jiamusi City,52.509,881711,357321.1631
Tier 3,Linfen City,28.681,944050,182284.8366
Tier 3,Mudanjiang City,53.879,965154,334945.5113
Tier 3,Bengbu City,71.624,972784,441767.1343
Tier 3,Laiwu City,34.81,989500,211076.3012
Tier 3,Chaozhou City,30.039,NA,NA
Tier 3,Liaoyang City,36.104,NA,NA
Tier 4,Xiangcheng City,20,1003626,119566.452
Tier 4,Zaoyang City,20,1004741,119433.7645
Tier 4,Linhai City,20,1028800,116640.7465
Tier 4,Zhangqiu City,20,1064200,112760.7593
Tier 4,Taixing City,20,1073921,111740.0628
Tier 4,Zhucheng City,20,1086200,110476.8919
Tier 4,Zoucheng City,20,1116700,107459.4788
Tier 4,Yuzhou City,20,1131819,106024.0197
Tier 4,Shouguang City,20,1139400,105318.5887
Tier 4,Zhuji City,20,1157900,103635.8926
Tier 4,Dingzhou City,20,1165182,102988.2027
Tier 4,Huazhou City,20,1178873,101792.1354
Tier 4,Fuqing City,20.001,1234838,97183.59817
Tier 4,Yixing City,23.858,1235476,115864.6546
Tier 4,Zhangjiagang City,23.896,1248414,114846.5173
Tier 4,Rugao City,20,1267066,94706.98448
Tier 4,Haicheng City,20,1293877,92744.51899
Tier 4,Pizhou City,20,1458036,82302.49459
Tier 4,Cixi City,20,1462383,82057.84668
Tier 4,Dengzhou City,20,1468061,81740.47264
Tier 4,Changshu City,20,1510103,79464.77823
Tier 4,Jiangyin City,20,1594829,75243.17654
Tier 4,Tengzhou City,20,1603700,74826.96265
Tier 4,Changzhi City,20,150000,8.00E+05
Tier 4,Chengde City,20,150000,8.00E+05
Tier 4,Chenzhou City,20,150000,8.00E+05
Tier 4,Chibi City,20,150000,8.00E+05
Tier 4,Dazhou City,20,150000,8.00E+05
Tier 4,Deyang City,20,150000,8.00E+05
Tier 4,Huanggang City,20,150000,8.00E+05
Tier 4,Hulunbuir City,20,150000,8.00E+05
Tier 4,Huzhou City,20,150000,8.00E+05
Tier 4,Jieyang City,20,150000,8.00E+05
Tier 4,Longyan City,20,150000,8.00E+05
Tier 4,Ningde City,20,150000,8.00E+05
Tier 4,Ordos City,20,150000,8.00E+05
Tier 4,Sanming City,20,150000,8.00E+05
Tier 4,Shangqiu City,20,150000,8.00E+05
Tier 4,Shangrao City,20,150000,8.00E+05
Tier 4,Songyuan City,20,150000,8.00E+05
Tier 4,Tongliao City,20,150000,8.00E+05
Tier 4,Weinan City,20,150000,8.00E+05
Tier 4,Xiaogan City,20,150000,8.00E+05
Tier 4,Yan'an City,20,150000,8.00E+05
Tier 4,Yichun City,20,150000,8.00E+05
Tier 4,Zhangjiakou City,20,150000,8.00E+05
Tier 4,Zhumadian City,20,150000,8.00E+05
Tier 4,Altay City,20,190064,631366.2766
Tier 4,Yiwu City,20,2038400,58869.70173
Tier 4,Honghu City,20,335618,357549.3567
Tier 4,Aksu City,20,535657,224023.9556
Tier 4,Jingjiang City,20,617277,194402.189
Tier 4,Xinyi City,20,920610,130348.356
Tier 4,Fangchenggang City,20,946600,126769.4908
Tier 4,Wuchuan City,20,947499,126649.2102
Tier 4,Danyang City,20,960418,124945.5966
Tier 4,Qidong City,20,972525,123390.1442
